Name,Governorat,Type,Number_bed,Occupancy,Total_Admi,Male_visit,Female_vis,Total_visi,Total_Surg,Latitude,Longitude
Albayader Hospital,Amman,Private Hospitals,18.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.957826709999999,35.845519699999997
Pheladelphea Hospital,Amman,Private Hospitals,31.000000000000000,"22,3",n/a,n/a,n/a,n/a,n/a,31.965127960000000,35.845384950000003
Aldoale Hospital,Amman,Private Hospitals,53.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.953284100000001,35.852867920000001
Arabe Center,Amman,Private Hospitals,139.000000000000000,"74,6",n/a,n/a,n/a,n/a,n/a,31.959305300000000,35.878541769999998
Esteshare Hospital,Amman,Private Hospitals,108.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.965730019999999,35.885934900000002
Shmaisani Hospital,Amman,Private Hospitals,80.000000000000000,"76,6",n/a,n/a,n/a,n/a,n/a,31.970424430000001,35.891935650000001
Jordan Hospital,Amman,Private Hospitals,300.000000000000000,"46,7",n/a,n/a,n/a,n/a,n/a,31.960174150000000,35.900038449999997
Jabal Amman Hospital,Amman,Private Hospitals,25.000000000000000,"23,6",n/a,n/a,n/a,n/a,n/a,31.954160630000001,35.900532530000000
Kaldee Hospital,Amman,Private Hospitals,160.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.950593479999998,35.903802390000003
Abed Alhadi Hospital,Amman,Private Hospitals,17.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.952293229999999,35.903200519999999
Farah Hospital,Amman,Private Hospitals,61.000000000000000,"12,6",n/a,n/a,n/a,n/a,n/a,31.951691080000000,35.906398520000003
Aqleh Hospital,Amman,Private Hospitals,30.000000000000000,"43,6",n/a,n/a,n/a,n/a,n/a,31.951950230000001,35.909749239999996
Amman Hospital,Amman,Private Hospitals,65.000000000000000,"61,9",n/a,n/a,n/a,n/a,n/a,31.953230739999999,35.911860279999999
Malhas Hospital,Amman,Private Hospitals,69.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.949533989999999,35.922244810000002
Lozmela Hospital,Amman,Private Hospitals,58.000000000000000,"54,3",n/a,n/a,n/a,n/a,n/a,31.954899950000001,35.930473370000001
Etali Hospital,Amman,Private Hospitals,47.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.944708920000000,35.932296950000001
Helal Hospital,Amman,Private Hospitals,64.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.935484949999999,35.933150349999998
Qudes Hospital,Amman,Private Hospitals,70.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.925802590000000,35.927904190000000
El-Hanan Hospital,Amman,Private Hospitals,50.000000000000000,"25,8",n/a,n/a,n/a,n/a,n/a,31.909035220000000,35.928982169999998
El-Hamaydeh Hospital,Amman,Private Hospitals,54.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.901279559999999,35.933851040000000
Alaqsa Hospital,Amman,Private Hospitals,18.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.991249170000000,35.942582659999999
Almoasah Hospital,Amman,Private Hospitals,40.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.979522979999999,35.978057139999997
Marka Hospital,Amman,Private Hospitals,38.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.984308120000001,35.990319139999997
Marka Islamic Hospital,Amman,Private Hospitals,38.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.988986340000000,35.991271349999998
Esteqlal Hospital,Amman,Private Hospitals,114.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.978989590000001,35.916172199999998
Alamal Hospital,Amman,Private Hospitals,33.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.974196549999998,35.911339259999998
Palestine Hospital,Amman,Private Hospitals,46.000000000000000,"29,7",n/a,n/a,n/a,n/a,n/a,31.973945080000000,35.907530399999999
Takasose Hospital,Amman,Private Hospitals,175.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.978799089999999,35.900388800000002
Aljazera Hospital,Amman,Private Hospitals,40.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,31.979164850000000,35.898879630000003
Heba Hospital,Amman,Private Hospitals,30.000000000000000,"50,2",n/a,n/a,n/a,n/a,n/a,31.967978190000000,35.916765079999998
