OBJECTID,Sheet_no,scan_exist,Scan_avail_yes,Scan_avail_no,Scanned_map,SHAPE
26,H-37-52,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-052.jpg,"{'rings': [[[4174494.49355279, 3546466.47467736], [4174494.49355279, 3589537.34195273], [4230154.23894942, 3589537.34195273], [4230154.23894942, 3546466.47467736], [4174494.49355279, 3546466.47467736]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
27,H-37-53,no,,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"{'rings': [[[4230154.23894942, 3546466.47467736], [4230154.23894942, 3589537.34195273], [4285813.98434606, 3589537.34195273], [4285813.98434606, 3546466.47467736], [4230154.23894942, 3546466.47467736]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
28,H-36-47,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-047.jpg,"{'rings': [[[3896195.7665696, 3589537.34195273], [3896195.7665696, 3632764.99654835], [3951855.51196624, 3632764.99654835], [3951855.51196624, 3589537.34195273], [3896195.7665696, 3589537.34195273]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
29,H-36-48,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-048.jpg,"{'rings': [[[3951855.51196624, 3589537.34195273], [3951855.51196624, 3632764.99654835], [4007515.25736288, 3632764.99654835], [4007515.25736288, 3589537.34195273], [3951855.51196624, 3589537.34195273]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
30,H-37-37,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-037.jpg,"{'rings': [[[4007515.25736288, 3589537.34195273], [4007515.25736288, 3632764.99654835], [4063175.00275951, 3632764.99654835], [4063175.00275951, 3589537.34195273], [4007515.25736288, 3589537.34195273]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
31,H-37-38,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-038.jpg,"{'rings': [[[4063175.00275951, 3589537.34195273], [4063175.00275951, 3632764.99654835], [4118834.74815615, 3632764.99654835], [4118834.74815615, 3589537.34195273], [4063175.00275951, 3589537.34195273]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
32,H-37-39,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-039.jpg,"{'rings': [[[4118834.74815615, 3589537.34195273], [4118834.74815615, 3632764.99654835], [4174494.49355279, 3632764.99654835], [4174494.49355279, 3589537.34195273], [4118834.74815615, 3589537.34195273]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
33,H-37-40,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-040.jpg,"{'rings': [[[4174494.49355279, 3589537.34195273], [4174494.49355279, 3632764.99654835], [4230154.23894942, 3632764.99654835], [4230154.23894942, 3589537.34195273], [4174494.49355279, 3589537.34195273]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
34,H-36-35,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-035.jpg,"{'rings': [[[3896195.7665696, 3632764.99654835], [3896195.7665696, 3676112.25563306], [3951855.51196624, 3676112.25563306], [3951855.51196624, 3632764.99654835], [3896195.7665696, 3632764.99654835]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
35,H-36-36,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-036.jpg,"{'rings': [[[3951855.51196624, 3632764.99654835], [3951855.51196624, 3676112.25563306], [4007515.25736288, 3676112.25563306], [4007515.25736288, 3632764.99654835], [3951855.51196624, 3632764.99654835]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
36,H-37-25,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-025.jpg,"{'rings': [[[4007515.25736288, 3632764.99654835], [4007515.25736288, 3676112.25563306], [4063175.00275951, 3676112.25563306], [4063175.00275951, 3632764.99654835], [4007515.25736288, 3632764.99654835]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
37,H-37-26,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-026.jpg,"{'rings': [[[4063175.00275951, 3632764.99654835], [4063175.00275951, 3676112.25563306], [4118834.74815615, 3676112.25563306], [4118834.74815615, 3632764.99654835], [4063175.00275951, 3632764.99654835]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
38,H-37-27,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-027.jpg,"{'rings': [[[4118834.74815615, 3632764.99654835], [4118834.74815615, 3676112.25563306], [4174494.49355279, 3676112.25563306], [4174494.49355279, 3632764.99654835], [4118834.74815615, 3632764.99654835]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
39,H-37-28,no,,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"{'rings': [[[4174494.49355279, 3632764.99654835], [4174494.49355279, 3676112.25563306], [4230154.23894942, 3676112.25563306], [4230154.23894942, 3632764.99654835], [4174494.49355279, 3632764.99654835]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
