Code,Station_ID,JMD_code,Station_Name,Altitude_m,Latitude,Longitude,Time,SPI
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,3/31/80,45.1
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,3/31/80,32.6
,AM0007,27,South Shuna,-211,31.904103,35.625541,3/31/80,29.5
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,3/31/80,11.3
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,3/31/80,10.9
,F 0003,28,Azraq South ,511,31.82568,36.818333,3/31/80,10.9
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,3/31/80,10.3
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,3/31/80,9.7
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,3/31/80,9.2
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,3/31/80,6
,CD0034,19,Qatraneh,730,31.15,36.07,3/31/80,5.5
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,3/31/80,3.7
,AL0017,23,Sawileh,1050,32,35.54,4/30/80,23
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,4/30/80,20.3
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,4/30/80,20
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,4/30/80,19.9
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,4/30/80,19.3
,CC0001,24,Madaba,758,31.43,35.48,4/30/80,17.6
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,4/30/80,17.5
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,4/30/80,16.2
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,4/30/80,15.1
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,4/30/80,14.2
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,4/30/80,12.6
,AD0012,25,Ramtha,590,32.3,35.59,4/30/80,12.5
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,4/30/80,11.5
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,4/30/80,10.1
,AM0007,27,South Shuna,-211,31.904103,35.625541,4/30/80,9.8
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,4/30/80,9.2
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,4/30/80,7.8
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,4/30/80,6.5
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,4/30/80,6.2
SYNP0029,,14,Queen AIA,722,31.43,35.59,4/30/80,6.1
,AL0004,30,Jarash,585,32.279346,35.892955,4/30/80,4.2
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,4/30/80,3.2
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,4/30/80,3
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,4/30/80,1
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,4/30/80,0.2
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,4/30/80,0
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,4/30/80,0
,CD0034,19,Qatraneh,730,31.15,36.07,4/30/80,0
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,4/30/80,0
,F 0003,28,Azraq South ,511,31.82568,36.818333,4/30/80,0
SYNP0011,AH0003,10,Ras Munief,1150,32.22,35.45,5/31/80,3.7
AGRO0008,AE0002,4,Irbed,616,32.55103034,35.85031273,5/31/80,3.6
AGRO0020,DA0002,6,Shoubek,1365,30.52106675,35.53030633,5/31/80,1.7
,AB0002,26,Dier Abi Said,330,32.500792,35.684493,5/31/80,0.8
SYNP0013,AL0019,11,Amman Airport,790,31.59,35.59,5/31/80,0.2
,AD0012,25,Ramtha,590,32.3,35.59,5/31/80,0.2
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,5/31/80,0
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,5/31/80,0
AGRO0005,CF0006,3,Ghor Safi,-350,31.03106096,35.47030809,5/31/80,0
AGRO0018,CD0010,5,ErRabeh,920,31.27104991,35.75030499,5/31/80,0
CLIM0019,DB0001,7,Tafieleh,1200,30.5,35.38,5/31/80,0
RAIN0037,AM0001,8,Salt,796,32.03103635,35.44,5/31/80,0
SYNP0006,ED0001,9,Aqaba,51,29.33,35.00032057,5/31/80,0
SYNP0023,AD0016,12,Mafreq,686,32.22,36.15,5/31/80,0
SYNP0024,F 0002,13,Safawi_H5,674,32.12,38.08,5/31/80,0
SYNP0029,,14,Queen AIA,722,31.43,35.59,5/31/80,0
SYNP0030,G 0007,15,Maan,1069,30.1,35.47,5/31/80,0
SYNP0031,G 0008,16,Al Jafer,865,30.28106357,36.15030025,5/31/80,0
CLIM0026,AL0015,17,Zarqa,664,32.08104361,36.07,5/31/80,0
AGRO0025,AL0055,18,Wadi Dhulil,575,32.15104237,36.28030146,5/31/80,0
,CD0034,19,Qatraneh,730,31.15,36.07,5/31/80,0
SYNP0028,F 0009,20,Azraq,610,31.5,36.49,5/31/80,0
SYNP0022,H 0001,21,Rwaished_H4,683,32.3,38.12,5/31/80,0
,AH0002,22,Wadi El-Rayyan,-200,32.24,35.35,5/31/80,0
,AL0017,23,Sawileh,1050,32,35.54,5/31/80,0
,CC0001,24,Madaba,758,31.43,35.48,5/31/80,0
,AM0007,27,South Shuna,-211,31.904103,35.625541,5/31/80,0
,F 0003,28,Azraq South ,511,31.82568,36.818333,5/31/80,0
PURP0012,AL0018,29,University of Jordan,992,32.010893,35.873065,5/31/80,0
,AL0004,30,Jarash,585,32.279346,35.892955,5/31/80,0
AGRO0001,AD0032,1,Bakoura,-170,32.67103427,35.62031876,6/30/80,0
AGRO0004,AL0010,2,Deir Alla,-224,32.22104282,35.62031634,6/30/80,0
